Taxa,Locality,LepTree No.,COI,CAD,DDC,EF-1a,PER,WG
Acherontia atropos,Gabon; Ogooue-Ivindo; La Lope,TDGABb-0147,HQ992062,-,-,-,-,-
Acherontia lachesis,Malaysia_China; Sabah; Mt. Kinabalu,merged,JN677648,KP720202,-,KP720285,-,KP720143
Acherontia styx ,Philippines; Palawan,IJK-02-5989,KC893254,EU479012,EU479122,EU479232,EU479346,EU479446
Agrius cingulata,USA; Georgia,WJK-02-1941,KP720016,EU479018,EU479128,EU479238,EU479352,EU479452
Agrius convolvuli,Germany_Madagascar,merged,HM393240,-,-,-,-,FJ485802
Amphimoea walkeri,Costa Rica; Guanacaste,08-SRNP-41931L,KP720030,KP720186,-,KP720250,-,-
Ceratomia amyntor,USA; Colorado,RSP-96-0932,KP720033,-,AF234584,AF234562,-,-
Ceratomia catalpae,USA; Arkansas,DCR-02-1870,KP720035,EU479036,EU479146,EU479256,EU479366,EU479470
Cocytius duponchel,Costa Rica; Guanacaste,merged,JQ560790,EU479040,EU479151,EU479261,EU479371,EU479475
Coelonia brevis,Madagascar,BC-Basq0327,JN677843,-,-,-,-,-
Coelonia fulvinotata,Zimbabwe; bred stock,IJK-02-5816,KP720038,EU479041,EU479152,EU479262,-,EU479476
Coelonia solani,Madagascar,BC-Basq0354,JN677845,-,-,-,-,-
Dolba hyloeus,USA; Texas,RSP-02-1575,KP720046,EU479048,EU479158,EU479269,EU479377,EU479483
Dolbina tancrei ,Japan; Yamanashi,AYK-04-2557,KP720052,EU479049,EU479159,EU479270,EU479378,EU479484
Dovania poecila,Kenya; Kakamega,IJK-03-3169,KP720051,EU479050,-,-,EU479379,EU479485
Euryglottis dognini,Ecuador; Morona-Santiago,WJK-03-2891,KP720057,EU479060,EU479170,EU479281,EU479387,EU479495
Isoparce cupressi,USA; North Carolina,JBS-05-0001,KP720079,EU479066,EU479178,EU479290,EU479393,EU479502
Kentrochrysalis consimilis,Japan; Yamanashi,AYK-04-2571,KP720082,EU479067,EU479179,EU479291,EU479394,EU479503
Lapara coniferarum,USA; Georgia,JKA-02-1670,KP720084,EU032697,EU032833,AF234569,EU032997,EU033100
Lintneria istar,USA; Texas,CWB-02-1591,KP720085,EU479110,EU479222,EU479335,EU479435,EU479548
Lintneria merops,Ecuador; Manabi,WJK-03-2198,KP720086,EU479112,EU479224,EU479337,EU479437,EU479550
Lomocyma oegrapha,,Koch_et_al_2008,FJ485736,-,-,FJ485771,-,FJ485803
Macropoliana natalensis,USA; Arizona,IJK-03-3211,KP720091,EU479073,EU479184,KP720013,EU479399,EU479509
Manduca florestan,Tanzania; Usumbara Mts.,JPT-02-1529,KP720089,-,EU479186,EU479298,-,EU479511
Manduca muscosa,USA; Arizona,JBW-02-1508,KP720090,KP720213,EU479187,EU479299,-,EU479512
Manduca quinquemaculatus,USA; Arkansas,DCR-02-1876,KP720094,EU479075,EU479188,EU479300,EU479401,EU479513
Manduca sexta ,Argentina; Cordoba ,MM-03-2154,KP720096,EU032707,EU032841,AF234571,EU033005,EU033109
Megacorma obliqua,Malaysia; Perak,AYK-04-0154,KP720092,EU479077,EU479190,EU479302,EU479403,EU479515
Meganoton analis,Japan; Shizuoka,AYK-04-2579,KP720095,EU479078,EU479191,EU479303,EU479404,EU479516
Meganoton rubescens,Australia; Queensland; Garradunga; Polly Creek,JP-05-0760,KC893276,KC893241,KP720006,-,KP719998,KC893217
Neococytius cluentius,Ecuador; Pichincha,WJK-03-1949,KP720103,EU479081,EU479194,EU479306,EU479407,EU479519
Panogena jasmini,Madagascar,Koch_et_al_2008,FJ485737,-,-,FJ485772,-,FJ485804
Panogena lingens,Madagascar,Koch_et_al_2008,FJ485738,-,-,FJ485773,-,FJ485805
Paratrea plebeja,USA; Georgia,WJK-02-1939,KP720115,EU479091,EU479203,EU479316,EU479417,EU479529
Psilogramma increta,Philippines; Palawan,IJK-02-5988,KJ168362,EU479102,EU479214,EU479327,EU479428,EU479540
Sphinx caligineus,China; Beijing,merged,KR183255,EU479108,EU479220,EU479333,EU479433,EU479546
Sphinx chersis ,USA; Arizona,JPT-xx-0839,KP720127,-,AF234596,AF234577,-,-
Sphinx dollii,USA; Arizona,JPT-02-1532,KP720128,EU479109,EU479221,EU479334,EU479434,EU479547
Sphinx kalmiae ,USA_Canada,merged,GU091429,EU479111,EU479223,EU479336,EU479436,EU479549
Xanthopan morgani morgani,Tanzania; Usumbara Mts;,IJK-03-3209,KP720139,EU479118,KP720246,-,EU479442,EU479556
Xanthopan morgani praedicta,Madagascar,Koch_et_al_2008,FJ485739,-,-,FJ485774,-,FJ485806
Cocytius antaeus,Costa Rica; Guanacaste; Area de Conservacion Guanacaste,MHACG038-04,-,-,-,-,-,-
Hoplistopus penricei,Namibia,merged,JN678044,JQ784582,JQ785925,-,JQ785440,JQ786859
Sagenosoma elsa,United States,merged,JN678492,JQ784816,JQ786133,-,JQ785585,JQ787028
Praedora marshalli,Malawi,merged,JN678423,JQ784769,JQ786091,-,-,JQ786998
